CV,superficie_km2,typo_CV_densite,LOGS_TOT,LOGS_ACHL16111,pct_LOGS_LOGS_ACHL16111,NIVGEO,LIBGEO,grossesbetes,moyenne,ecart_type,min,max,D1,D9,C05,C95,ecart_D1_D9,ecart_C95_C05,ecart_minmax,val_NORRR1MM_TOT_m,val_NORRR_TOT,pct_EAU,pct_FORETS,densite_grossesbetes,score_vieuxlogements,score_grossesbetes,score_pluie,score_declivite,score_OS_eau,score_OS_forets,x,y,LIBGEO_conv
6613,1250.88814850004,PD,37492.9101464229,4023.13166312798,0.107303798169207,CV,Les Pyrénées catalanes,11000.4211313169,1672.50733469998,550.171010839507,247.600006103516,2909,870,2367.5,622.700012207031,2506.17998046875,1497.5,1883.47996826172,2661.39999389648,8.63611482853976,926.459973248099,0.00716711277037957,0.297303033367811,8.79408853981682,1,1,0,4,2,3,2.11480407203401,42.5455965546487,Les Pyr&eacute;n&eacute;es catalanes
6614,91.2281880000025,D,11184.0361927507,1349.3799119688,0.120652319852419,CV,Le Ribéral,59.28315646879,109.230084458489,64.7223001747542,26.7999992370606,335.5,47.2999992370606,216.199996948242,40.75,245.5,168.899997711181,204.75,308.700000762939,5.29366818243045,628.238563118537,0.00328759761998617,0.0181151367504051,0.649833760468731,1,0,0,3,1,0,2.79219171458032,42.7305898620739,Le Rib&eacute;ral
6615,766.226291500015,PD,16461.1927171611,3560.39211411925,0.216290045034676,CV,La Vallée de l'Agly,1795.26451654408,351.712959501276,267.983955232706,-0.180000007152557,1533.30004882813,42.2999992370606,752.099975585938,17.8999996185303,897.385018920897,709.799976348877,879.485019302367,1533.48004883528,6.74889434678057,737.856571196993,0.028325401989152,0.211824188272,2.34299519144606,2,0,0,4,4,2,2.63101792111891,42.7900746555317,La Vall&eacute;e de l&apos;Agly
6616,126.815379000005,PD,12650.4067130667,2065.80063014589,0.163299147371453,CV,La Vallée de la Tęt,355.156853047797,192.740592924082,123.940988361046,42.5,652.099975585938,79.9000015258789,400.279992675781,70.3000030517578,448.100006103516,320.379991149902,377.800003051758,609.599975585938,6.35143697682207,702.92977847891,0.00605146880478832,0.068170777220384,2.80058188406142,1,0,0,4,2,0,2.66709796518817,42.6854318888003,La Vall&eacute;e de la Tęt
6617,241.004704999993,PD,18443.9726954965,2471.02582999855,0.133974706577282,CV,Vallespir-Albčres,1137.41129441829,368.99193362064,290.164803721337,26,1421.30004882813,73.1999969482422,812.289990234375,51.9000015258789,941.099975585938,739.089993286133,889.199974060059,1395.30004882813,6.26936426548558,803.372099818591,0.00504314148561093,0.544229445544099,4.71945680238202,1,1,0,4,2,4,2.85462901334774,42.4959563108067,Vallespir-Albčres
6701,184.121675000452,PD,21284.9455220782,2234.01720945446,0.104957619324756,CV,Bischwiller,1752.23777393191,123.393624036752,6.0958431496984,112.5,151.050003051758,117.300003051758,131.800003051758,116.379997253418,137.289993286133,14.5,20.909996032715,38.550003051758,11.3842128199261,803.494596843714,0.0520580743604779,0.330198484875966,9.51673817831391,1,1,3,0,4,3,7.95994161453086,48.7865684850581,Bischwiller
6702,327.40700600081,PD,19815.1462136216,3873.13184033373,0.195463197625623,CV,Bouxwiller,15294.1912940802,198.842928303831,29.939303333578,141.199996948242,367.899993896484,164.5,240.699996948242,157.800003051758,255,76.199996948242,97.199996948242,226.699996948242,11.3610765094223,773.929848912705,0.000148295410602519,0.0556402620103229,46.7130849791355,2,3,3,1,0,0,7.56766319853182,48.7280318074767,Bouxwiller
6703,217.347313000546,D,21761.2516412767,2411.83693674542,0.110831719448097,CV,Brumath,3941.43938979028,144.975460192217,17.2900815863126,123.910003662109,195.100006103516,128.470001220703,174.699996948242,127.625,180.899993896484,46.229995727539,53.274993896484,71.190002441407,11.3486501499577,792.524326837897,0.0200890069397951,0.253266235272993,18.1342908517133,1,2,3,0,4,2,7.77328993751625,48.7095942207812,Brumath
6704,272.16912450073,PD,20399.9000003068,2851.91834293598,0.139800604066348,CV,Erstein,5468.62588622214,156.133571018791,4.31972857753989,145.600006103516,175.160003662109,149.860000610352,161.399993896484,149,162.610000610352,11.539993286132,13.610000610352,29.559997558593,10.416158997127,659.750756769571,0.0298803451420924,0.280352089019438,20.0927489341557,1,2,2,0,4,3,7.64010430146568,48.3784481811503,Erstein
6705,257.479039500618,D,22297.2965235156,1700.56171462521,0.0762676189389927,CV,Haguenau,4042.84186851098,160.585356366151,26.1007716916307,115.800003051758,301.100006103516,136.600006103516,197.5,134,214.369996643066,60.899993896484,80.3699966430659,185.300003051758,11.5646894581967,804.153463285012,0.000740165070557291,0.697134192281016,15.7016348839583,0,2,4,1,0,4,7.79191071650885,48.830518809329,Haguenau
6706,46.6733000001256,D,22222.8653427364,1198.7259178917,0.0539411052267167,CV,Hoenheim,488.714592587959,148.300108238128,11.5214437470605,131.699996948242,191.699996948242,135.399993896484,163.209997558594,134.399993896484,177.505000305176,27.8100036621096,43.1050064086917,60,10.6042069871417,679.574688375502,0.00559276976571449,0.0674992174449279,10.4709671822357,0,1,2,0,2,0,7.70899235201214,48.6217013081813,Hoenheim
