CV,moyenne,ecart_type,min,max,D1,D9,C05,C95,ecart_D1_D9,ecart_C95_C05,ecart_minmax
4919,54.7752135912132,25.1678477449736,21.7999992370605,116.300003051758,24.6900005340576,89,23.9500007629395,94.9000015258789,64.3099994659424,70.9500007629394,94.5000038146975
4920,62.274774573735,19.0239545118897,18.2000007629395,118.589996337891,38.7000007629395,90.4000015258789,34.4000015258789,96.5999984741211,51.7000007629394,62.1999969482422,100.389995574952
4921,44.1920822204749,16.1789944631258,-6,94,22.3199996948242,66.7830009460456,19.6800003051758,72,44.4630012512214,52.3199996948242,100
4987,64.648877141313,14.2829203655017,32.2999992370606,98.9000015258789,44.5999984741211,83.0999984741211,42.2000007629395,88.6999969482422,38.5,46.4999961853027,66.6000022888183
4988,58.7970735995963,19.5443911817397,12.6000003814697,103.199996948242,28.6000003814697,81.9000015258789,19.8999996185303,87.0999984741211,53.3000011444092,67.1999988555908,90.5999965667723
4989,56.0683059629719,18.3391811190019,16.6000003814697,101.699996948242,32.7000007629395,81.0999984741211,27.8999996185303,87.0999984741211,48.3999977111816,59.1999988555908,85.0999965667723
4998,32.5792890731281,12.2815282935662,14.8599996566772,65.5999984741211,15.4200000762939,48.0999984741211,15.25,50.2999992370606,32.6799983978272,35.0499992370606,50.7399988174439
4999,116.019696541693,20.9915023223569,60,185.600006103516,88.3000030517578,140.300003051758,80.5999984741211,152.136004638672,52.0000000000002,71.5360061645509,125.600006103516
5001,33.2895066949479,26.2398223906548,-1.95000004768372,141.5,5.78000020980835,74.5999984741211,3,85.9000015258789,68.8199982643128,82.9000015258789,143.450000047684
5002,47.8944441349738,31.1862607585997,1.37000000476837,126.900001525879,10.0900001525879,95.3000030517578,8.43000030517578,103.72550239563,85.2100028991699,95.2955020904544,125.530001521111
5003,77.9981041439446,35.3251820230216,4.15000009536743,181.199996948242,29.8979995727539,122.699996948242,12.3100004196167,129.100006103516,92.8019973754881,116.790005683899,177.049996852875
5004,48.6974172631576,33.5285919340454,1.11000001430511,160.600006103516,12.8999996185303,100.5,6.84000015258789,119.940000915527,87.6000003814697,113.100000762939,159.490006089211
5005,11.9087709493426,10.5982796374083,-4.73000001907349,41.7000007629395,1.69000005722046,28,1.4099999666214,32.2999992370606,26.3099999427795,30.8899992704392,46.430000782013
5008,93.5151271386776,33.0568156153693,18.5,175.5,49,140,39.7000007629395,150.899993896484,91,111.199993133545,157
5009,118.675566580434,43.2525394892367,20.8799991607666,275.899993896484,67.2960021972656,177.399993896484,53.5999984741211,201.919995117187,110.103991699218,148.319996643066,255.019994735717
5010,77.8474156627473,39.7196503238996,4.30000019073486,176.899993896484,22.7000007629395,133.5,15.0200004577637,145,110.799999237061,129.979999542236,172.599993705749
5011,30.0558716576104,20.8047789801145,-0.670000016689301,130.699996948242,8.17000007629395,51.9000015258789,6.03000020980835,74,43.730001449585,67.9699997901917,131.369996964931
5013,35.4175131314887,15.1469899847367,-0.560000002384186,72.5999984741211,11.156000328064,53.5520011901855,8.64000034332275,58.7000007629395,42.3960008621215,50.0600004196168,73.1599984765053
5014,106.392868362314,46.6957794424752,-3.15000009536743,185.300003051758,26.8510004043579,163.399993896484,10.1909996032715,172.196997070312,136.548993492126,162.005997467041,188.450003147125
5015,125.242013620861,68.0293802010328,7.46000003814697,357.640014648438,49,218,36.0999984741211,251.300003051758,169,215.200004577637,350.180014610291
5016,202.845543530802,72.2353901263162,70.5,366.799987792969,110.099998474121,299.399993896484,100.199996948242,313,189.299995422363,212.800003051758,296.299987792969
5017,61.1187768745617,33.0762529255653,-8.80000019073486,144.5,11.6400003433228,105.5,8.03499984741211,115.400001525879,93.8599996566772,107.365001678467,153.300000190735
5018,55.1540832635179,46.5404255495449,-0.740000009536743,196.199996948242,3,124.599998474121,1.76999998092651,138,121.599998474121,136.230000019073,196.939996957779
5019,39.698231917721,35.5769759073854,3.77999997138977,196.699996948242,7.48000001907349,78.6999969482422,7.01000022888184,124.099998474121,71.2199969291687,117.089998245239,192.919996976852
